id,submitdate,lastpage,startlanguage,seed,DT01_SQ001_,DT01_SQ011_,DT01_SQ002_,DT01_SQ005_,DT01_SQ004_,DT01_SQ003_,DT01_SQ006_,DT01_SQ007_,DT01_SQ008_,DT01_SQ009_,DT01_SQ010_,DT01_other_,DT06_SQ001_,DT06_SQ002_,DT06_SQ003_,DT06_SQ004_,DT06_other_,DT02_SQ001_,DT02_SQ002_,DT02_SQ003_,DT02_SQ006_,DT02_SQ005_,DT02_other_,DT03,DT03_other_,DT04a,DT04b,DT05a,DT05b,DQ01,DQ02,DQ03_SQ001_,DQ03_SQ002_,DQ04,DHRP01,DHRP02_SQ001_,DHRP02_SQ002_,DHRP02_SQ003_,DHRP02_SQ004_,DHRP07_SQ001_,DHRP07_SQ001comment_,DHRP07_SQ002_,DHRP07_SQ002comment_,DHRP07_SQ003_,DHRP07_SQ003comment_,DHRP07_SQ004_,DHRP07_SQ004comment_,DHRP07_SQ005_,DHRP07_SQ005comment_,DHRP07_SQ006_,DHRP07_SQ006comment_,DHRP07_other_,DHRP07_othercomment_,DHRP06_SQ001_,DHRP06_SQ002_,DHRP06_SQ003_,DHRP06_SQ004_,DHRP05_SQ001_,DHRP05_SQ002_,DHRP05_SQ003_,DHRP05_SQ004_,DHRP03a_SQ001_,DHRP03a_SQ002_,DHRP03a_SQ003_,DHRP03b_SQ001_,DHRP03b_SQ002_,DHRP03b_SQ003_,DHRP03c_SQ001_,DHRP03c_SQ002_,DHRP03c_SQ003_,DHRP04_SQ001_,DHRP04_SQ002_,DHRP04_SQ003_,DHRP04_SQ004_,ORDM01,ORDM02_SQ001_,ORDM02_SQ002_,ORDM02_SQ003_,ORDM02_SQ016_,ORDM02_SQ004_,ORDM02_SQ005_,ORDM02_SQ006_,ORDM02_SQ007_,ORDM02_SQ008_,ORDM02_SQ009_,ORDM02_SQ010_,ORDM02_SQ011_,ORDM02_SQ012_,ORDM02_SQ013_,ORDM02_SQ014_,ORDM02_SQ015_,ORDM03,D03,D03_other_,D06,D02_SQ001_,D02_SQ002_,D02_SQ008_,D02_SQ003_,D02_SQ004_,D02_SQ005_,D02_SQ006_,D02_SQ007_,D02_other_
53,1980-01-01T00:00:00Z,5,de,1886992550,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,NA,Yes,Yes,No,No,NA,Yes,Yes,Yes,Yes,Yes,NA,Do not know/Cannot answer,NA,Yes,Informationen von Industriepartnern zu Produktionssystemen,Yes,DNA/Zellen/Chemikalien,1 GB - 9 GB,0 - 99 GB,< 10 GB,10 GB - 99 GB,Fewer than 5 people,1-5,Most of the time,Rarely,"Never, or almost never",Rarely,No,NA,No,NA,No,NA,Yes,NA,No,NA,No,NA,NA,NA,Tend to agree,Completely agree,Completely disagree,Completely agree,"Never, or almost never","Never, or almost never",Most of the time,"Never, or almost never",NA,NA,NA,"Never, or almost never","Never, or almost never",Rarely,"Never, or almost never","Always, or almost always","Never, or almost never",Sometimes,"Always, or almost always","Never, or almost never","Never, or almost never",To some extent,To little or no extent at all,To some extent,To little or no extent at all,To little or no extent at all,To some extent,To a large extent,To some extent,To some extent,Do not know/cannot answer,To a large extent,To a large extent,Do not know/cannot answer,To some extent,To some extent,To a large extent,To a large extent,NA,Doctorate/PhD,NA,"Technical Chemistry, Chemical and Process Engineering, Biotechnology",No,No,No,No,No,No,No,No,Universitätsassistent
54,1980-01-01T00:00:00Z,5,de,160595683,No,No,Yes,No,No,No,No,No,Yes,No,Yes,NA,Yes,Yes,Yes,No,NA,No,No,Yes,Yes,No,NA,Predominantly proprietary formats,NA,Yes,Messdaten mit der Möglichkeit die Betriebsführung abzuleiten,No,NA,100 MB - 999 MB,0 - 99 GB,10 GB - 99 GB,< 10 GB,5-9 people,1-5,Most of the time,Most of the time,Most of the time,Do not know/cannot answer,No,NA,Yes,Falls für die Aufgaben/Berichte des Partners benötigt. Erfolgt dann meistens über NextCload,No,NA,Yes,Über Bigmail,No,NA,No,NA,NA,NA,Tend to agree,Tend to agree,Completely disagree,Completely agree,Most of the time,"Never, or almost never",Rarely,"Never, or almost never",NA,NA,NA,Do not know/cannot answer,Do not know/cannot answer,Rarely,"Always, or almost always","Always, or almost always",Sometimes,"Always, or almost always","Always, or almost always",Sometimes,"Never, or almost never",To some extent,To little or no extent at all,To some extent,To some extent,To some extent,To little or no extent at all,To some extent,To a large extent,To little or no extent at all,Do not know/cannot answer,To a large extent,To little or no extent at all,To little or no extent at all,To a very large extent,To some extent,To a large extent,To a large extent,NA,"Master's Degree (MSc., MA, Dipl. Ing., Mag.)",NA,Electrical and Information Engineering,No,No,No,No,No,No,Yes,No,NA
56,1980-01-01T00:00:00Z,5,de,293148355,No,No,No,No,No,Yes,Yes,No,No,No,No,NA,Yes,No,No,No,NA,No,Yes,No,No,Yes,NA,Predominantly proprietary formats,NA,No,NA,Yes,Flüssigkeiten,100 GB - 499 GB,0 - 99 GB,NA,100 GB - 999 GB,Fewer than 5 people,1-5,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,No,NA,No,NA,No,NA,No,NA,Yes,NA,No,NA,NA,NA,Don't know/Cannot answer,Don't know/Cannot answer,Don't know/Cannot answer,Don't know/Cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,NA,NA,NA,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,NA,NA,NA,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,To some extent,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,NA,"Master's Degree (MSc., MA, Dipl. Ing., Mag.)",NA,Mechanical Engineering and Economic Sciences,No,No,No,No,No,No,Yes,No,NA
61,1980-01-01T00:00:00Z,5,de,915214133,No,No,Yes,No,No,No,No,No,No,No,Yes,NA,No,No,No,Yes,NA,No,Yes,Yes,Yes,No,NA,Proprietary and open source formats,NA,No,NA,No,NA,< 1 MB,0 - 99 GB,< 10 GB,< 10 GB,Fewer than 5 people,NA,NA,NA,NA,NA,No,NA,No,NA,No,NA,No,NA,Yes,NA,No,NA,NA,NA,Don't know/Cannot answer,Completely disagree,Completely agree,Tend to disagree,"Never, or almost never",Most of the time,Sometimes,Rarely,arXiv,NA,NA,"Never, or almost never","Never, or almost never","Never, or almost never",NA,NA,NA,Sometimes,"Always, or almost always","Never, or almost never","Never, or almost never",To little or no extent at all,Do not know/cannot answer,Do not know/cannot answer,To little or no extent at all,To little or no extent at all,To little or no extent at all,To little or no extent at all,To little or no extent at all,To little or no extent at all,To some extent,To a very large extent,Do not know/cannot answer,To little or no extent at all,To little or no extent at all,To little or no extent at all,To little or no extent at all,To little or no extent at all,NA,Doctorate/PhD,NA,"Mathematics, Physics, and Geodesy",No,No,No,No,Yes,No,No,No,NA
62,1980-01-01T00:00:00Z,5,de,1916133748,No,No,No,No,No,No,No,No,No,No,Yes,NA,Yes,Yes,No,No,NA,No,No,Yes,Yes,Yes,NA,Predominantly open source formats,NA,No,NA,No,NA,1 GB - 9 GB,500 GB - 900 GB,1 TB - 10 TB,10 TB - 100 TB,Fewer than 5 people,11-20,"Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never",Yes,NA,No,NA,No,NA,No,NA,No,NA,No,NA,NA,NA,Completely agree,Tend to agree,Completely disagree,Tend to agree,"Never, or almost never","Always, or almost always",Rarely,"Never, or almost never",NA,NA,NA,"Never, or almost never","Never, or almost never",Rarely,Most of the time,"Never, or almost never",Most of the time,Sometimes,Rarely,Most of the time,Most of the time,To a large extent,To a large extent,To a large extent,To little or no extent at all,To a large extent,Do not know/cannot answer,To little or no extent at all,To a large extent,To some extent,To little or no extent at all,To little or no extent at all,To little or no extent at all,To some extent,To some extent,To some extent,To a large extent,To a large extent,NA,Doctorate/PhD,NA,Computer Science and Biomedical Engineering,No,No,No,Yes,No,Yes,No,No,NA
65,1980-01-01T00:00:00Z,5,de,1578719443,No,No,No,Yes,No,No,No,Yes,No,No,Yes,NA,Yes,No,No,No,NA,Yes,Yes,No,No,Yes,NA,Proprietary formats exclusively,NA,No,NA,Yes,chemische Proben,100 MB - 999 MB,0 - 99 GB,10 GB - 99 GB,10 GB - 99 GB,5-9 people,11-20,"Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never",Yes,in Publikationen,Yes,zur weiteren Berechnung,No,NA,No,NA,No,NA,No,NA,NA,NA,Tend to disagree,Tend to agree,Completely disagree,Tend to agree,"Never, or almost never","Never, or almost never",Most of the time,"Never, or almost never",NA,NA,NA,"Never, or almost never","Never, or almost never","Never, or almost never",NA,NA,NA,Most of the time,"Never, or almost never","Never, or almost never","Never, or almost never",To little or no extent at all,To little or no extent at all,To little or no extent at all,To little or no extent at all,To little or no extent at all,To little or no extent at all,To some extent,To little or no extent at all,To little or no extent at all,To little or no extent at all,To little or no extent at all,To little or no extent at all,To little or no extent at all,To little or no extent at all,To little or no extent at all,To little or no extent at all,To little or no extent at all,NA,Doctorate/PhD,NA,"Technical Chemistry, Chemical and Process Engineering, Biotechnology",No,No,No,No,No,Yes,No,No,NA
66,1980-01-01T00:00:00Z,5,de,344367612,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,No,NA,No,Yes,Yes,Yes,Yes,NA,Do not know/Cannot answer,NA,Yes,Daten aus Industrieprojekten,Yes,Prototypen von Industriepartnern (Elektrotechnik),< 1 MB,0 - 99 GB,10 GB - 99 GB,< 10 GB,Fewer than 5 people,1-5,"Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never",No,NA,No,NA,Yes,Daten mit hoher Relevanz für das vorliegende Projekt werden über einen passwortgeschützten Server mit den Projektpartnern geteilt. Die Daten sind niemals personenbezogen oder sensibel.,No,NA,No,NA,No,NA,NA,NA,Completely agree,Tend to disagree,Tend to agree,Tend to agree,"Never, or almost never","Never, or almost never",Rarely,"Never, or almost never",NA,NA,NA,"Never, or almost never",Rarely,Rarely,Rarely,"Never, or almost never","Never, or almost never",Most of the time,Most of the time,"Always, or almost always","Never, or almost never",To little or no extent at all,To little or no extent at all,To some extent,Do not know/cannot answer,To little or no extent at all,To a large extent,To little or no extent at all,To little or no extent at all,To some extent,To some extent,To some extent,To a large extent,To a large extent,To a large extent,To some extent,To some extent,To a large extent,NA,"Master's Degree (MSc., MA, Dipl. Ing., Mag.)",NA,Electrical and Information Engineering,No,No,No,No,No,No,Yes,No,NA
67,1980-01-01T00:00:00Z,5,de,1507246070,No,No,No,No,Yes,No,No,No,Yes,No,Yes,NA,No,No,No,Yes,NA,No,No,Yes,No,Yes,NA,Predominantly proprietary formats,NA,Yes,"Netzdaten (Energieversorgungsnetze), Erzeugung- und Verbrauchsdaten",No,NA,100 MB - 999 MB,500 GB - 900 GB,NA,100 GB - 999 GB,Fewer than 5 people,>20,"Never, or almost never",Sometimes,"Never, or almost never",Rarely,No,NA,Yes,NA,No,NA,Yes,NA,No,NA,No,NA,NA,NA,Tend to agree,Completely disagree,Tend to agree,Tend to agree,"Never, or almost never","Never, or almost never",Sometimes,"Never, or almost never",NA,NA,NA,Rarely,Sometimes,Sometimes,"Always, or almost always",Rarely,"Never, or almost never",Most of the time,Most of the time,Sometimes,"Never, or almost never",To some extent,To some extent,To some extent,Do not know/cannot answer,To some extent,To little or no extent at all,To some extent,To little or no extent at all,To a large extent,To little or no extent at all,To some extent,To some extent,To some extent,To a large extent,To little or no extent at all,To little or no extent at all,To little or no extent at all,NA,Doctorate/PhD,NA,Electrical and Information Engineering,No,Yes,No,No,No,No,No,No,NA
68,1980-01-01T00:00:00Z,5,de,892158155,No,No,Yes,No,Yes,No,No,No,No,No,No,NA,Yes,No,Yes,No,NA,No,No,Yes,Yes,Yes,NA,Predominantly proprietary formats,NA,Yes,Industrieprojekte,No,NA,10 GB - 99 GB,0 - 99 GB,< 10 GB,10 GB - 99 GB,Fewer than 5 people,NA,NA,NA,NA,NA,No,NA,Yes,NA,No,NA,No,NA,No,NA,No,NA,NA,NA,Tend to agree,Tend to agree,Tend to disagree,Tend to agree,Sometimes,"Never, or almost never","Never, or almost never","Never, or almost never",NA,NA,NA,"Never, or almost never","Never, or almost never",Rarely,Most of the time,"Never, or almost never","Never, or almost never",Most of the time,"Never, or almost never",Sometimes,"Never, or almost never",To little or no extent at all,To little or no extent at all,To a large extent,To little or no extent at all,To little or no extent at all,To some extent,To little or no extent at all,To little or no extent at all,To little or no extent at all,To little or no extent at all,To little or no extent at all,To little or no extent at all,To little or no extent at all,To a large extent,To little or no extent at all,To little or no extent at all,To little or no extent at all,NA,"Master's Degree (MSc., MA, Dipl. Ing., Mag.)",NA,Electrical and Information Engineering,No,No,No,No,No,No,Yes,No,NA
69,1980-01-01T00:00:00Z,5,de,241610672,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,NA,Yes,Yes,No,No,NA,No,No,Yes,Yes,No,NA,Predominantly open source formats,NA,Yes,Geometriedaten,No,NA,10 GB - 99 GB,500 GB - 900 GB,100 GB - 999 GB,100 GB - 999 GB,Fewer than 5 people,1-5,"Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never",No,NA,Yes,NA,No,NA,No,NA,No,NA,No,NA,NA,NA,Completely disagree,Completely disagree,Completely agree,Tend to disagree,"Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never",NA,NA,NA,"Never, or almost never",Rarely,"Never, or almost never",NA,NA,NA,"Always, or almost always","Always, or almost always","Always, or almost always","Never, or almost never",To a very large extent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Doctorate/PhD,NA,"Technical Chemistry, Chemical and Process Engineering, Biotechnology",No,No,No,No,Yes,No,No,No,NA
71,1980-01-01T00:00:00Z,5,de,958759010,No,No,No,No,No,No,No,No,Yes,No,Yes,NA,No,No,No,Yes,NA,No,Yes,Yes,No,Yes,NA,Predominantly proprietary formats,NA,Yes,Daten aus Industrieprojekten,Yes,"Kraftstoff, Motoröl",100 MB - 999 MB,0 - 99 GB,NA,1 TB - 10 TB,5-9 people,6-10,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,No,NA,No,NA,No,NA,No,NA,Yes,NA,No,NA,NA,NA,Completely agree,Tend to agree,Completely disagree,Completely agree,"Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never",NA,NA,NA,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,NA,NA,NA,"Always, or almost always",Most of the time,"Never, or almost never","Never, or almost never",Do not know/cannot answer,Do not know/cannot answer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Doctorate/PhD,NA,Mechanical Engineering and Economic Sciences,No,No,No,No,Yes,No,No,No,NA
73,1980-01-01T00:00:00Z,5,de,349093168,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,NA,Yes,Yes,No,No,NA,Yes,Yes,Yes,No,Yes,NA,Do not know/Cannot answer,NA,No,NA,No,NA,Up to 99 MB,0 - 99 GB,< 10 GB,< 10 GB,5-9 people,NA,NA,NA,NA,NA,No,NA,No,NA,No,NA,No,NA,Yes,NA,No,NA,NA,NA,Don't know/Cannot answer,Tend to agree,Tend to agree,Tend to agree,"Always, or almost always","Never, or almost never","Never, or almost never",Rarely,NA,NA,NA,"Never, or almost never","Never, or almost never","Never, or almost never",NA,NA,NA,"Always, or almost always","Always, or almost always","Never, or almost never","Never, or almost never",To some extent,To a large extent,To a large extent,To little or no extent at all,To some extent,To a very large extent,To little or no extent at all,To little or no extent at all,To little or no extent at all,To some extent,To some extent,To little or no extent at all,To little or no extent at all,To some extent,To some extent,To some extent,To little or no extent at all,NA,"Master's Degree (MSc., MA, Dipl. Ing., Mag.)",NA,Electrical and Information Engineering,No,No,No,No,No,No,Yes,No,NA
74,1980-01-01T00:00:00Z,5,en,1963408369,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,NA,No,No,No,Yes,NA,No,Yes,Yes,Yes,No,NA,Open source formats exclusively,NA,No,NA,No,NA,10 GB - 99 GB,100 GB - 499 GB,100 GB - 999 GB,100 GB - 999 GB,5-9 people,1-5,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,No,NA,Yes,NA,No,NA,No,NA,No,NA,No,NA,NA,NA,Completely agree,Tend to disagree,Tend to agree,Completely agree,Sometimes,"Always, or almost always",Sometimes,"Never, or almost never",GitHub,NA,NA,Do not know/cannot answer,Do not know/cannot answer,Most of the time,Rarely,Rarely,"Always, or almost always",Most of the time,"Always, or almost always",Do not know/cannot answer,"Never, or almost never",To little or no extent at all,Do not know/cannot answer,To some extent,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,To a very large extent,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,To a very large extent,Do not know/cannot answer,NA,"Master's Degree (MSc., MA, Dipl. Ing., Mag.)",NA,Computer Science and Biomedical Engineering,No,No,No,No,No,Yes,Yes,Yes,NA
77,1980-01-01T00:00:00Z,5,de,603276123,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,NA,Yes,Yes,No,No,NA,No,No,Yes,No,No,NA,Proprietary and open source formats,NA,No,NA,No,NA,1 GB - 9 GB,500 GB - 900 GB,10 GB - 99 GB,NA,10-19 people,1-5,"Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never",No,NA,Yes,Bezieht sich auf Daten,No,NA,Yes,Bezieht sich auf Code,No,NA,No,NA,NA,NA,Completely agree,Don't know/Cannot answer,Tend to agree,Completely agree,Rarely,Sometimes,"Never, or almost never","Never, or almost never",Github,NA,NA,"Never, or almost never","Never, or almost never",Sometimes,Most of the time,NA,Sometimes,Most of the time,"Never, or almost never","Never, or almost never","Never, or almost never",To some extent,To some extent,To a large extent,To some extent,To some extent,To some extent,To some extent,To some extent,To some extent,To little or no extent at all,To some extent,To little or no extent at all,Do not know/cannot answer,To some extent,To some extent,To some extent,To some extent,NA,Doctorate/PhD,NA,"Mathematics, Physics, and Geodesy",No,No,No,No,Yes,No,No,No,NA
78,1980-01-01T00:00:00Z,5,de,1554251859,No,No,Yes,No,No,No,No,No,Yes,No,Yes,NA,No,Yes,Yes,No,NA,No,Yes,Yes,Yes,No,NA,Open source formats exclusively,NA,No,NA,No,NA,1 GB - 9 GB,0 - 99 GB,< 10 GB,NA,5-9 people,1-5,"Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never",Yes,...meist werden aber keine Daten generiert,No,NA,No,NA,No,NA,No,NA,No,NA,NA,NA,Completely agree,Tend to disagree,Tend to agree,Completely agree,"Never, or almost never",Rarely,Rarely,Sometimes,github,bitbucket,google drive,"Never, or almost never","Never, or almost never",Rarely,Sometimes,"Always, or almost always",Rarely,Sometimes,Rarely,Rarely,Rarely,To a large extent,To some extent,To some extent,Do not know/cannot answer,To some extent,To a large extent,To little or no extent at all,To some extent,To a large extent,Do not know/cannot answer,To a very large extent,To some extent,To little or no extent at all,To little or no extent at all,To little or no extent at all,To a large extent,To a large extent,NA,Doctorate/PhD,NA,"Mathematics, Physics, and Geodesy",Yes,No,No,No,No,No,No,No,NA
79,1980-01-01T00:00:00Z,5,de,115196367,No,No,Yes,Yes,Yes,No,No,No,No,No,No,NA,Yes,No,No,No,NA,No,No,Yes,No,Yes,NA,Predominantly open source formats,NA,Yes,NA,No,NA,1 GB - 9 GB,0 - 99 GB,100 GB - 999 GB,1 TB - 10 TB,Fewer than 5 people,1-5,Sometimes,"Always, or almost always","Never, or almost never","Never, or almost never",No,NA,Yes,teilweise Weitergabe von entwickelten Codes samt Datengrundlage,No,NA,No,NA,No,NA,No,NA,NA,NA,Tend to disagree,Don't know/Cannot answer,Tend to agree,Completely agree,Most of the time,Sometimes,Rarely,"Never, or almost never",insitutsinterne Datenbanken,git.tugraz.at,GitLab,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Most of the time,Most of the time,Most of the time,"Never, or almost never",To a large extent,To a large extent,To a large extent,To a large extent,To a large extent,To a large extent,To some extent,To little or no extent at all,To some extent,To some extent,To a large extent,To some extent,To little or no extent at all,To little or no extent at all,To some extent,To some extent,To little or no extent at all,NA,"Master's Degree (MSc., MA, Dipl. Ing., Mag.)",NA,Civil Engineering Sciences,No,No,No,No,No,No,Yes,No,NA
82,1980-01-01T00:00:00Z,5,de,1600436169,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,No,NA,Yes,Yes,No,No,Yes,NA,Predominantly proprietary formats,NA,Yes,Forschungsdaten aus Industrieprojekten,Yes,Biologische Proben,1 GB - 9 GB,0 - 99 GB,< 10 GB,10 GB - 99 GB,10-19 people,11-20,Most of the time,"Always, or almost always",Sometimes,Rarely,No,NA,Yes,Industriepartner,Yes,Bei Anträgen,Yes,an Industriepartner,No,NA,No,NA,NA,NA,Don't know/Cannot answer,Tend to agree,Completely disagree,Tend to agree,Most of the time,Do not know/cannot answer,Most of the time,"Never, or almost never",NA,NA,NA,Rarely,Most of the time,"Never, or almost never",NA,NA,NA,"Always, or almost always",Most of the time,Sometimes,"Never, or almost never",To some extent,To a large extent,To a large extent,Do not know/cannot answer,To some extent,To a large extent,To a large extent,To a large extent,To a very large extent,Do not know/cannot answer,Do not know/cannot answer,To a large extent,To a large extent,To a very large extent,To some extent,To some extent,To a large extent,NA,Doctorate/PhD,NA,"Technical Chemistry, Chemical and Process Engineering, Biotechnology",No,Yes,No,No,No,No,No,No,NA
83,1980-01-01T00:00:00Z,5,de,1457630024,No,No,Yes,Yes,No,No,No,No,No,No,No,NA,Yes,Yes,Yes,No,NA,No,No,No,Yes,No,NA,Proprietary and open source formats,NA,No,NA,No,NA,100 MB - 999 MB,0 - 99 GB,< 10 GB,< 10 GB,5-9 people,>20,"Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never",Yes,NA,No,NA,No,NA,No,NA,No,NA,No,NA,NA,NA,Completely disagree,Tend to agree,Tend to agree,Completely agree,"Never, or almost never","Always, or almost always",Most of the time,"Never, or almost never",github,NA,NA,"Never, or almost never",Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,To a large extent,To little or no extent at all,To little or no extent at all,To little or no extent at all,To little or no extent at all,To little or no extent at all,To little or no extent at all,To little or no extent at all,To some extent,To little or no extent at all,To little or no extent at all,To little or no extent at all,To little or no extent at all,To little or no extent at all,To little or no extent at all,To little or no extent at all,To little or no extent at all,NA,Bachelor's Degree,NA,Computer Science and Biomedical Engineering,Yes,No,No,No,No,Yes,No,No,NA
84,1980-01-01T00:00:00Z,5,de,210555167,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,No,No,NA,No,Yes,Yes,Yes,Yes,NA,Predominantly proprietary formats,NA,No,NA,Yes,Material,10 GB - 99 GB,500 GB - 900 GB,100 GB - 999 GB,100 GB - 999 GB,10-19 people,1-5,"Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never",No,NA,Yes,NA,No,NA,Yes,NA,No,NA,No,NA,NA,NA,Tend to agree,Tend to disagree,Tend to agree,Completely agree,Sometimes,Sometimes,Most of the time,Rarely,NA,NA,NA,Rarely,Rarely,Sometimes,Most of the time,Most of the time,Rarely,Rarely,"Always, or almost always",Sometimes,Sometimes,To little or no extent at all,To little or no extent at all,To a large extent,To little or no extent at all,To little or no extent at all,To little or no extent at all,To a large extent,To some extent,To a very large extent,To some extent,To some extent,To some extent,To some extent,To a very large extent,To a large extent,To a large extent,To some extent,NA,"Master's Degree (MSc., MA, Dipl. Ing., Mag.)",NA,Civil Engineering Sciences,No,No,No,No,No,No,Yes,No,NA
86,1980-01-01T00:00:00Z,5,de,631505481,No,No,No,No,No,No,No,No,No,No,Yes,NA,No,No,No,Yes,NA,No,No,Yes,No,No,NA,Open source formats exclusively,NA,No,NA,No,NA,< 1 MB,0 - 99 GB,< 10 GB,< 10 GB,Fewer than 5 people,6-10,"Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never",Yes,NA,No,NA,No,NA,No,NA,No,NA,No,NA,NA,NA,Tend to agree,Completely disagree,Tend to agree,Tend to agree,"Never, or almost never",Sometimes,Rarely,"Never, or almost never",NA,NA,NA,"Never, or almost never","Never, or almost never",Sometimes,Most of the time,"Never, or almost never",Sometimes,"Always, or almost always","Never, or almost never","Never, or almost never","Never, or almost never",To little or no extent at all,Do not know/cannot answer,To some extent,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,To little or no extent at all,To little or no extent at all,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,NA,Doctorate/PhD,NA,"Mathematics, Physics, and Geodesy",Yes,No,No,No,No,No,No,No,NA
88,1980-01-01T00:00:00Z,5,de,991400175,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,NA,No,Yes,Yes,No,NA,No,No,Yes,No,No,NA,Open source formats exclusively,NA,No,NA,No,NA,> 500 GB,> 5 TB,10 TB - 100 TB,1 TB - 10 TB,5-9 people,6-10,"Always, or almost always","Never, or almost never","Always, or almost always","Never, or almost never",Yes,NA,No,NA,No,NA,No,NA,No,NA,No,NA,NA,NA,Tend to agree,Completely agree,Completely disagree,Completely agree,Most of the time,Sometimes,Rarely,"Always, or almost always",ICGEM (http://icgem.gfz-potsdam.de/home),PANGAEA (https://www.pangaea.de/),GitHub,Sometimes,Rarely,"Always, or almost always",Sometimes,NA,"Always, or almost always","Never, or almost never","Always, or almost always","Never, or almost never","Never, or almost never",To some extent,To little or no extent at all,To little or no extent at all,To little or no extent at all,To little or no extent at all,To little or no extent at all,To some extent,To little or no extent at all,To some extent,To little or no extent at all,To little or no extent at all,To some extent,NA,To little or no extent at all,To little or no extent at all,To some extent,To little or no extent at all,NA,"Master's Degree (MSc., MA, Dipl. Ing., Mag.)",NA,"Mathematics, Physics, and Geodesy",No,No,No,No,No,No,Yes,No,NA
92,1980-01-01T00:00:00Z,5,en,1637551810,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,NA,No,No,No,Yes,NA,No,No,Yes,Yes,No,NA,Open source formats exclusively,NA,No,NA,No,NA,Up to 99 MB,0 - 99 GB,< 10 GB,< 10 GB,5-9 people,1-5,"Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never",Yes,NA,No,NA,No,NA,No,NA,No,NA,No,NA,NA,NA,Completely agree,Tend to agree,Tend to disagree,Completely agree,Sometimes,"Always, or almost always",Rarely,"Never, or almost never",arXiv,GitHub,Bitbucket,"Never, or almost never","Never, or almost never",Sometimes,Sometimes,"Never, or almost never",Most of the time,"Always, or almost always","Never, or almost never",Sometimes,"Always, or almost always",To little or no extent at all,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,To little or no extent at all,To little or no extent at all,To little or no extent at all,NA,Do not know/cannot answer,Do not know/cannot answer,To little or no extent at all,To little or no extent at all,Do not know/cannot answer,To little or no extent at all,To little or no extent at all,To little or no extent at all,NA,Doctorate/PhD,NA,"Mathematics, Physics, and Geodesy",No,No,No,No,Yes,No,No,No,NA
