"id","submitdate","lastpage","startlanguage","seed","DT01[SQ001]","DT01[SQ011]","DT01[SQ002]","DT01[SQ005]","DT01[SQ004]","DT01[SQ003]","DT01[SQ006]","DT01[SQ007]","DT01[SQ008]","DT01[SQ009]","DT01[SQ010]","DT01[other]","DT06[SQ001]","DT06[SQ002]","DT06[SQ003]","DT06[SQ004]","DT06[other]","DT02[SQ001]","DT02[SQ002]","DT02[SQ003]","DT02[SQ006]","DT02[SQ005]","DT02[other]","DT03","DT03[other]","DT04a","DT04b","DT05a","DT05b","DQ01","DQ02","DQ03[SQ001]","DQ03[SQ002]","DQ04","DHRP01","DHRP02[SQ001]","DHRP02[SQ002]","DHRP02[SQ003]","DHRP02[SQ004]","DHRP07[SQ001]","DHRP07[SQ001comment]","DHRP07[SQ002]","DHRP07[SQ002comment]","DHRP07[SQ003]","DHRP07[SQ003comment]","DHRP07[SQ004]","DHRP07[SQ004comment]","DHRP07[SQ005]","DHRP07[SQ005comment]","DHRP07[SQ006]","DHRP07[SQ006comment]","DHRP07[other]","DHRP07[othercomment]","DHRP06[SQ001]","DHRP06[SQ002]","DHRP06[SQ003]","DHRP06[SQ004]","DHRP05[SQ001]","DHRP05[SQ002]","DHRP05[SQ003]","DHRP05[SQ004]","DHRP03a[SQ001]","DHRP03a[SQ002]","DHRP03a[SQ003]","DHRP03b[SQ001]","DHRP03b[SQ002]","DHRP03b[SQ003]","DHRP03c[SQ001]","DHRP03c[SQ002]","DHRP03c[SQ003]","DHRP04[SQ001]","DHRP04[SQ002]","DHRP04[SQ003]","DHRP04[SQ004]","ORDM01","ORDM02[SQ001]","ORDM02[SQ002]","ORDM02[SQ003]","ORDM02[SQ016]","ORDM02[SQ004]","ORDM02[SQ005]","ORDM02[SQ006]","ORDM02[SQ007]","ORDM02[SQ008]","ORDM02[SQ009]","ORDM02[SQ010]","ORDM02[SQ011]","ORDM02[SQ012]","ORDM02[SQ013]","ORDM02[SQ014]","ORDM02[SQ015]","ORDM03","D03","D03[other]","D06","D02[SQ001]","D02[SQ002]","D02[SQ008]","D02[SQ003]","D02[SQ004]","D02[SQ005]","D02[SQ006]","D02[SQ007]","D02[other]"
"356","1980-01-01 00:00:00","5","de","13835576","No","No","No","Yes","No","Yes","No","Yes","Yes","Yes","No","","Yes","No","Yes","No","","Yes","No","No","No","Yes","","Predominantly proprietary formats","","Yes","Industrieprojekte","Yes","Fahrzeugelemente","10 GB - 99 GB","100 GB - 499 GB","100 GB - 999 GB","100 GB - 999 GB","5-9 people","","","","","","No","","Yes","Avl","No","","No","","No","","No","","","","Tend to agree","Completely agree","Completely disagree","Completely agree","Most of the time","Sometimes","Rarely","Never, or almost never","","","","Do not know/cannot answer","Never, or almost never","Sometimes","Sometimes","Never, or almost never","Never, or almost never","Most of the time","Always, or almost always","Most of the time","Rarely","To some extent","To little or no extent at all","To some extent","To little or no extent at all","To a large extent","To little or no extent at all","To a very large extent","To a large extent","To little or no extent at all","Do not know/cannot answer","Do not know/cannot answer","To some extent","Do not know/cannot answer","To a very large extent","To a large extent","To a very large extent","To some extent","fehlende portable Speichermedien.p, wie USB-Sticks und Festplatten","Bachelor's Degree","","Mechanical Engineering and Economic Sciences","No","No","No","No","No","No","No","No","Studentischer Projektmitarbeiter"
"358","1980-01-01 00:00:00","5","de","1137448670","No","No","Yes","No","Yes","Yes","No","Yes","Yes","No","Yes","","Yes","No","Yes","No","","No","Yes","Yes","No","Yes","","Proprietary and open source formats","","Yes","","Yes","","1 GB - 9 GB","0 - 99 GB","< 10 GB","100 GB - 999 GB","Fewer than 5 people","1-5","Never, or almost never","Rarely","Never, or almost never","Never, or almost never","No","","Yes","","No","","No","","No","","No","","","","Completely agree","Completely agree","Tend to disagree","Completely agree","Most of the time","Never, or almost never","Never, or almost never","Never, or almost never","","","","Never, or almost never","Never, or almost never","Rarely","Always, or almost always","Rarely","Rarely","Most of the time","Always, or almost always","Most of the time","Never, or almost never","To some extent","","","","","","","","","","","","","","","","","","Doctorate/PhD","","Electrical and Information Engineering","No","No","No","No","No","No","Yes","No",""
"360","1980-01-01 00:00:00","5","de","2068709159","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","No","","Yes","Yes","No","No","Yes","","Proprietary and open source formats","","Yes","Daten aus Industrieprojekten","Yes","Chemikalien, Sensoren, Algen, Puffer","Up to 99 MB","0 - 99 GB","10 GB - 99 GB","< 10 GB","10-19 people","","","","","","No","","No","","Yes","","No","","No","","No","","","","Completely agree","Completely agree","Completely disagree","Completely agree","Most of the time","Never, or almost never","Most of the time","Never, or almost never","","","","Sometimes","Sometimes","Most of the time","Rarely","Most of the time","Rarely","Always, or almost always","Always, or almost always","Always, or almost always","Sometimes","To a large extent","To some extent","To some extent","To little or no extent at all","To some extent","To a large extent","To a large extent","To a large extent","To a large extent","To some extent","To little or no extent at all","To some extent","To some extent","To a large extent","To a large extent","To a large extent","To a very large extent","","Master's Degree (MSc., MA, Dipl. Ing., Mag.)","","Technical Chemistry, Chemical and Process Engineering, Biotechnology","No","No","No","No","No","No","Yes","No",""
"361","1980-01-01 00:00:00","5","de","906354270","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","No","","Yes","Yes","Yes","No","Yes","","Proprietary and open source formats","","Yes","Industrieprojekte","Yes","mit allen möglichen: von Bio über Polymer bis zu Hartmetallen","1 GB - 9 GB","> 5 TB","10 TB - 100 TB","10 TB - 100 TB","5-9 people","6-10","Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never","No","","Yes","","Yes","","Yes","","No","","No","","","","Completely agree","Tend to agree","Tend to disagree","Completely agree","Sometimes","Never, or almost never","Sometimes","Never, or almost never","","","","Never, or almost never","Never, or almost never","Never, or almost never","","","","Always, or almost always","Never, or almost never","Rarely","Never, or almost never","To little or no extent at all","To little or no extent at all","To some extent","To little or no extent at all","Do not know/cannot answer","To some extent","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","To some extent","To little or no extent at all","To little or no extent at all","To little or no extent at all","","Doctorate/PhD","","Mathematics, Physics, and Geodesy","No","Yes","No","No","No","No","No","No",""
"364","1980-01-01 00:00:00","5","de","1467913061","No","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","No","","Yes","Yes","Yes","No","Yes","","Predominantly open source formats","","No","","No","","100 MB - 999 MB","100 GB - 499 GB","100 GB - 999 GB","10 GB - 99 GB","Fewer than 5 people","6-10","Never, or almost never","Rarely","Never, or almost never","Never, or almost never","No","","No","","No","","No","","No","","Yes","","","","Completely agree","Completely agree","Don't know/Cannot answer","Completely agree","Rarely","Never, or almost never","Sometimes","","","","","Sometimes","Never, or almost never","Sometimes","","Sometimes","Sometimes","Always, or almost always","Sometimes","Most of the time","Never, or almost never","Do not know/cannot answer","To a large extent","To some extent","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","Do not know/cannot answer","Do not know/cannot answer","To little or no extent at all","To a large extent","To little or no extent at all","","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","To some extent","","Doctorate/PhD","","Mathematics, Physics, and Geodesy","No","No","No","No","No","No","No","No",""
"365","1980-01-01 00:00:00","5","de","870106444","No","No","No","No","Yes","No","No","No","Yes","Yes","Yes","","No","No","No","Yes","","No","Yes","Yes","No","Yes","","Predominantly proprietary formats","","Yes","GIS-Daten","No","","1 GB - 9 GB","100 GB - 499 GB","1 TB - 10 TB","10 TB - 100 TB","10-19 people",">20","Never, or almost never","Rarely","Never, or almost never","Never, or almost never","No","","Yes","","No","","No","","No","","No","","","","Completely agree","Tend to disagree","Tend to agree","Tend to agree","Never, or almost never","Never, or almost never","Rarely","Never, or almost never","","","","Never, or almost never","Never, or almost never","Sometimes","Most of the time","Never, or almost never","Never, or almost never","Always, or almost always","Most of the time","Most of the time","Never, or almost never","To some extent","To a large extent","To a large extent","Do not know/cannot answer","To a large extent","To a large extent","To a large extent","To a very large extent","To a very large extent","Do not know/cannot answer","To a very large extent","To a very large extent","To a large extent","To a large extent","To a large extent","To a large extent","To a large extent","","Doctorate/PhD","","Mechanical Engineering and Economic Sciences","No","No","No","Yes","Yes","Yes","No","No",""
"372","1980-01-01 00:00:00","5","de","318675693","No","No","Yes","No","No","Yes","No","No","No","No","Yes","","Yes","Yes","No","No","","No","No","Yes","No","Yes","","Proprietary and open source formats","","No","","No","","1 GB - 9 GB","500 GB - 900 GB","100 GB - 999 GB","100 GB - 999 GB","5-9 people","1-5","Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never","Yes","","No","","No","","No","","No","","No","","","","Completely agree","Don't know/Cannot answer","Don't know/Cannot answer","Completely agree","Rarely","Most of the time","Most of the time","Never, or almost never","GitHub","GitLab","","Never, or almost never","Never, or almost never","Most of the time","Sometimes","Sometimes","Sometimes","Rarely","Most of the time","Rarely","Rarely","To little or no extent at all","To a large extent","Do not know/cannot answer","Do not know/cannot answer","To some extent","To a very large extent","To some extent","To a large extent","To some extent","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To some extent","To some extent","To a large extent","To little or no extent at all","","Master's Degree (MSc., MA, Dipl. Ing., Mag.)","","Computer Science and Biomedical Engineering","No","No","No","Yes","No","Yes","Yes","No",""
"375","1980-01-01 00:00:00","5","de","1352116406","Yes","No","Yes","No","Yes","No","No","No","Yes","No","Yes","","Yes","Yes","No","No","","Yes","Yes","Yes","No","Yes","","Proprietary and open source formats","","Yes","audioaufnahmen, Interviews","No","","10 GB - 99 GB","500 GB - 900 GB","","100 GB - 999 GB","Fewer than 5 people",">20","Rarely","Sometimes","Never, or almost never","Never, or almost never","No","","Yes","Das ist bei Kooperationen natürlich notwendig","No","","Yes","Sprachdatenbanken werden in der Regel erst nach einer vertraglichen Vereinbarung, die u.a. die erlaubte Nutzung regelt weitergegeben.","No","","No","","","","Completely agree","Tend to agree","Tend to disagree","Completely agree","Most of the time","Rarely","Rarely","Never, or almost never","locales Gitlab repository","","","Rarely","Never, or almost never","Sometimes","Sometimes","Sometimes","Sometimes","Most of the time","Most of the time","Most of the time","Rarely","To some extent","To a large extent","To a large extent","To little or no extent at all","To some extent","To some extent","To a large extent","To little or no extent at all","To a very large extent","To some extent","To little or no extent at all","To little or no extent at all","To little or no extent at all","To a large extent","To a large extent","To a large extent","To little or no extent at all","","Doctorate/PhD","","Electrical and Information Engineering","No","No","No","No","Yes","No","No","No",""
"378","1980-01-01 00:00:00","5","de","1067508800","No","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","","Yes","Yes","No","No","","No","Yes","Yes","No","Yes","","Proprietary and open source formats","","Yes","Daten von Industrienahen Forschungsprojekten die unter NDA stehen.","No","","100 MB - 999 MB","100 GB - 499 GB","10 GB - 99 GB","< 10 GB","Fewer than 5 people","","","","","","No","","Yes","Firmen und andere Institute ","No","","No","","No","","No","","","","Completely agree","Don't know/Cannot answer","Tend to agree","Completely agree","Sometimes","Sometimes","Most of the time","Never, or almost never","Git Repository des Instituts","TU Cloud","Netzlaufwerke des Instituts","Sometimes","Never, or almost never","Rarely","Most of the time","Never, or almost never","Never, or almost never","Always, or almost always","Sometimes","Most of the time","Never, or almost never","To a large extent","To little or no extent at all","To a large extent","To little or no extent at all","To little or no extent at all","To some extent","To little or no extent at all","To a very large extent","To some extent","To a very large extent","To a very large extent","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To a very large extent","To a very large extent","","Master's Degree (MSc., MA, Dipl. Ing., Mag.)","","Electrical and Information Engineering","No","No","No","No","No","No","Yes","No",""
"383","1980-01-01 00:00:00","5","de","1899800079","No","No","No","No","Yes","Yes","Yes","No","No","Yes","Yes","","No","Yes","No","No","","No","No","Yes","No","Yes","","Proprietary and open source formats","","Yes","Daten aus Industrieprojekten, die aber zur Publikationszwecken Freigabe erhalten haben und in ein Repository gehören","No","","10 GB - 99 GB","1 TB - 5 TB","","1 TB - 10 TB","Fewer than 5 people","11-20","Always, or almost always","Sometimes","Never, or almost never","Most of the time","Yes","FW Projekte mpssen offen zugänglich sein, EU Projekte / K Projekte mit Freigabe durch die Partner","No","","No","","No","","No","","No","","","","Completely agree","Tend to agree","Completely disagree","Completely agree","Always, or almost always","Always, or almost always","Always, or almost always","Always, or almost always","Homepage Institut / persönlich","ArchiveX für Publikationen","Jede Dissertation, jede Diplomarbeit MUSS eine Datensammlung beinhalten. Auf Festplatte oder neuerdings auf TU Server","Most of the time","Sometimes","Always, or almost always","Most of the time","Most of the time","Most of the time","Always, or almost always","Always, or almost always","Always, or almost always","Never, or almost never","To some extent","Do not know/cannot answer","To some extent","Do not know/cannot answer","To little or no extent at all","Do not know/cannot answer","To little or no extent at all","To little or no extent at all","To some extent","To little or no extent at all","To a very large extent","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","Dass die TU Graz als europäische Universität zwar open access Publikationen tatkräftigst unterstützt (wie auch der FWF) aber gleichzeitig geforderte Repositorium nicht bereitstellt. 
Unsere Partner in ausländischen Forschungszentren sind sehr erstaunt, dass wir zwar bei Springer Nature open access publizieren können (sehr, sehr fortschrittlich, EU Ziel 2020 - alle öffentlich geförderten Publikationen sollen open access publizierbar sein - bereits heute erreicht) aber mit dieser Publikation kein TU Graz Repositorium verknüpfen können (mittelalterlich).","Doctorate/PhD","","Mechanical Engineering and Economic Sciences","No","Yes","No","No","No","No","No","No",""
"386","1980-01-01 00:00:00","5","de","1191472739","No","No","No","Yes","No","No","No","No","No","Yes","Yes","","Yes","No","No","No","","No","Yes","Yes","Yes","No","","Do not know/Cannot answer","","No","","Yes","Materialproben","100 GB - 499 GB","0 - 99 GB","10 GB - 99 GB","10 GB - 99 GB","10-19 people",">20","Never, or almost never","Sometimes","Sometimes","Rarely","Yes","je nach Forschungsauftrag","No","","Yes","währenddes Projektes und bei Nachnutzung","No","","No","","No","","","","Completely agree","Tend to disagree","Tend to disagree","Completely agree","Always, or almost always","Always, or almost always","Sometimes","Never, or almost never","Datenbanken von anderen Projektpartnern, wenn die das Datenmanagement überhaben","Dropbox o.ä. zum raschen Ausstauch unsensibler Daten","","Sometimes","Rarely","Sometimes","Always, or almost always","Rarely","Never, or almost never","Most of the time","Always, or almost always","Sometimes","Sometimes","To a large extent","To some extent","To a large extent","Do not know/cannot answer","To some extent","To some extent","To little or no extent at all","To some extent","To little or no extent at all","Do not know/cannot answer","Do not know/cannot answer","To some extent","To some extent","To little or no extent at all","Do not know/cannot answer","To a large extent","To some extent","","Doctorate/PhD","","Mechanical Engineering and Economic Sciences","No","Yes","No","No","No","No","No","No",""
"388","1980-01-01 00:00:00","5","en","1228762968","No","No","Yes","No","No","Yes","No","No","Yes","No","Yes","","No","Yes","No","No","","No","Yes","No","No","Yes","","Proprietary and open source formats","","Yes","EEG Data","No","","> 500 GB","> 5 TB","1 TB - 10 TB","> 100 TB","20-29 people","1-5","Sometimes","Always, or almost always","Sometimes","Never, or almost never","Yes","","No","","No","","No","","No","","No","","","","Completely agree","Completely agree","Completely disagree","Completely agree","Most of the time","Sometimes","Most of the time","Most of the time","Frontiers","Github","","Most of the time","Rarely","Never, or almost never","","","","Always, or almost always","Always, or almost always","Sometimes","Most of the time","To some extent","To a large extent","To some extent","To little or no extent at all","To a large extent","To some extent","To some extent","To little or no extent at all","To little or no extent at all","To little or no extent at all","To some extent","Do not know/cannot answer","Do not know/cannot answer","To little or no extent at all","To little or no extent at all","To little or no extent at all","To some extent","","Doctorate/PhD","","Computer Science and Biomedical Engineering","No","No","Yes","No","No","No","No","No",""
"390","1980-01-01 00:00:00","5","de","136390981","No","Yes","Yes","Yes","No","No","No","No","Yes","No","Yes","","No","No","No","Yes","","Yes","Yes","Yes","Yes","No","Räumliche Daten","Proprietary and open source formats","","Yes","Trajektorien von Personen","No","","1 GB - 9 GB","1 TB - 5 TB","1 TB - 10 TB","10 TB - 100 TB","5-9 people",">20","Rarely","Always, or almost always","Sometimes","Most of the time","Yes","GitHub","Yes","wenn es um projektinterne Daten/Ergebnisse geht ","No","","No","","No","","No","","","","Tend to agree","Don't know/Cannot answer","Completely disagree","Tend to agree","Never, or almost never","Most of the time","Rarely","Rarely","GitHub","","","Rarely","Rarely","Sometimes","Most of the time","Never, or almost never","Most of the time","Always, or almost always","Never, or almost never","Always, or almost always","Always, or almost always","To little or no extent at all","To a very large extent","To a very large extent","Do not know/cannot answer","Do not know/cannot answer","To a large extent","To little or no extent at all","To a large extent","To little or no extent at all","To some extent","To little or no extent at all","To little or no extent at all","To little or no extent at all","To a large extent","To a large extent","To a large extent","To little or no extent at all","","Doctorate/PhD","","Mathematics, Physics, and Geodesy","No","No","Yes","No","No","No","No","No",""
"391","1980-01-01 00:00:00","5","de","25768481","No","No","No","No","Yes","Yes","Yes","No","No","No","Yes","","Yes","No","No","No","","No","Yes","Yes","No","Yes","","Proprietary and open source formats","","No","","Yes","handelsübliche Chemikalien","1 GB - 9 GB","100 GB - 499 GB","100 GB - 999 GB","1 TB - 10 TB","5-9 people","1-5","Never, or almost never","Do not know/cannot answer","Never, or almost never","Never, or almost never","No","","No","","No","","No","","No","","Yes","","","","Tend to disagree","Completely disagree","Tend to agree","Tend to agree","Never, or almost never","Sometimes","Never, or almost never","Never, or almost never","arXiv","","","Never, or almost never","Never, or almost never","Never, or almost never","","","","Always, or almost always","Sometimes","Sometimes","Never, or almost never","To little or no extent at all","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","To little or no extent at all","To little or no extent at all","To some extent","To little or no extent at all","Do not know/cannot answer","Do not know/cannot answer","To little or no extent at all","Do not know/cannot answer","To little or no extent at all","To little or no extent at all","To some extent","","Doctorate/PhD","","Mathematics, Physics, and Geodesy","No","Yes","No","No","No","No","No","No",""
"393","1980-01-01 00:00:00","5","en","1145903796","No","No","No","No","Yes","Yes","Yes","No","Yes","Yes","Yes","","No","No","No","No","","Yes","No","Yes","No","No","","Proprietary and open source formats","","No","","No","","100 MB - 999 MB","0 - 99 GB","< 10 GB","< 10 GB","Fewer than 5 people","","","","","","No","","No","","No","","No","","Yes","Daten werden ausschließlich für interne. zwecke verwendet und unterliegen dem Datenschutz lt. Auftraggeber","No","","","","Completely disagree","Tend to disagree","Don't know/Cannot answer","Tend to agree","Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never","","","","","","","","","","Most of the time","Never, or almost never","Never, or almost never","Never, or almost never","To a large extent","To a very large extent","To a very large extent","To a very large extent","To a very large extent","To a very large extent","To a very large extent","To a large extent","To a large extent","To little or no extent at all","To some extent","To a very large extent","To a very large extent","To a very large extent","To a large extent","To a very large extent","To a large extent","","Bachelor's Degree","","Civil Engineering Sciences","No","No","No","No","No","No","No","Yes",""
"394","1980-01-01 00:00:00","5","en","2061774223","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","No","","No","Yes","Yes","Yes","No","","Proprietary and open source formats","","Yes","Auftragsforschung für Industrie / Geheimhaltungsverpflichtung","No","","10 GB - 99 GB","100 GB - 499 GB","10 GB - 99 GB","100 GB - 999 GB","10-19 people","6-10","Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never","No","","Yes","","Yes","","No","","No","","No","","","","Tend to disagree","Tend to disagree","Tend to disagree","Completely agree","Never, or almost never","Never, or almost never","Most of the time","Never, or almost never","","","","Never, or almost never","Rarely","Never, or almost never","","","","Always, or almost always","Always, or almost always","Always, or almost always","Sometimes","To a large extent","To little or no extent at all","To little or no extent at all","Do not know/cannot answer","To little or no extent at all","Do not know/cannot answer","To a large extent","To a large extent","To a large extent","To a large extent","Do not know/cannot answer","To some extent","To some extent","To a very large extent","To a very large extent","To a very large extent","To a very large extent","","Doctorate/PhD","","Civil Engineering Sciences","No","Yes","No","No","No","No","No","No",""
"396","1980-01-01 00:00:00","5","de","1440576313","No","No","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","","Yes","No","No","No","","No","Yes","Yes","Yes","Yes","","Predominantly proprietary formats","","Yes","Daten aus Industrieprojekten über deren Produkte","Yes","Prototypen unseres „Produktes“","> 500 GB","> 5 TB","10 TB - 100 TB","1 TB - 10 TB","10-19 people","11-20","Rarely","Rarely","Never, or almost never","Never, or almost never","No","","No","","No","","No","","Yes","","No","","","","Tend to disagree","Tend to disagree","Tend to agree","Tend to disagree","Most of the time","Rarely","Never, or almost never","Never, or almost never","Svn","","","Never, or almost never","Rarely","Rarely","Most of the time","Never, or almost never","Never, or almost never","Sometimes","Most of the time","Never, or almost never","Never, or almost never","To a large extent","To little or no extent at all","To a very large extent","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To some extent","To some extent","To some extent","To a large extent","To a very large extent","To a large extent","To a large extent","To a large extent","To a large extent","To little or no extent at all","","Doctorate/PhD","","Electrical and Information Engineering","Yes","No","No","No","No","No","No","No",""
"397","1980-01-01 00:00:00","5","en","1583172207","No","Yes","Yes","No","No","No","No","Yes","Yes","Yes","Yes","","No","Yes","No","No","","No","Yes","No","Yes","Yes","","Predominantly proprietary formats","","Yes","Measurement data","No","","100 MB - 999 MB","0 - 99 GB","< 10 GB","10 GB - 99 GB","Fewer than 5 people","1-5","Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never","No","","No","","Yes","","No","","No","","No","","","","Completely agree","Tend to agree","Completely disagree","Completely agree","Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never","","","","Never, or almost never","Never, or almost never","Never, or almost never","","","","Most of the time","Most of the time","Never, or almost never","Never, or almost never","To little or no extent at all","To some extent","To a very large extent","Do not know/cannot answer","To little or no extent at all","To a large extent","To a large extent","To a very large extent","To a very large extent","To a large extent","To little or no extent at all","To a large extent","To little or no extent at all","To little or no extent at all","To some extent","Do not know/cannot answer","To a very large extent","","Doctorate/PhD","","Electrical and Information Engineering","No","No","No","No","Yes","No","No","No",""
"399","1980-01-01 00:00:00","5","en","1353136655","No","No","No","No","No","No","No","No","Yes","No","Yes","","Yes","Yes","No","No","","Yes","Yes","No","No","Yes","","Do not know/Cannot answer","","Yes","Industry project","No","","10 GB - 99 GB","1 TB - 5 TB","","1 TB - 10 TB","10-19 people","1-5","Rarely","Most of the time","Most of the time","Rarely","Yes","","No","","No","","No","","No","","No","","","","Tend to agree","Tend to agree","Tend to disagree","Tend to agree","Do not know/cannot answer","Sometimes","Sometimes","Sometimes","NCBI","RAST","","Sometimes","Do not know/cannot answer","Sometimes","Rarely","Sometimes","Most of the time","Always, or almost always","Always, or almost always","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","","Doctorate/PhD","","Technical Chemistry, Chemical and Process Engineering, Biotechnology","No","No","No","No","No","No","No","No",""
"401","1980-01-01 00:00:00","5","de","1671979552","No","No","Yes","No","No","No","No","No","Yes","No","Yes","","No","No","No","Yes","","No","Yes","No","No","No","","Predominantly proprietary formats","","Yes","Forschung an zukünftigen Technologien mit den Industriepartnern - CONFIDENTIAL!!","No","","10 GB - 99 GB","0 - 99 GB","10 GB - 99 GB","10 GB - 99 GB","10-19 people",">20","Rarely","Rarely","Never, or almost never","Never, or almost never","No","","No","","No","","No","","Yes","CONFIDENTIAL","No","","","","Completely disagree","Tend to agree","Completely disagree","Completely disagree","Rarely","Never, or almost never","Never, or almost never","Never, or almost never","","","","Never, or almost never","Never, or almost never","Rarely","Never, or almost never","Never, or almost never","Never, or almost never","Always, or almost always","Always, or almost always","","","To little or no extent at all","To little or no extent at all","To a very large extent","Do not know/cannot answer","To some extent","To little or no extent at all","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","","Doctorate/PhD","","Electrical and Information Engineering","No","No","Yes","No","No","No","No","No",""
"404","1980-01-01 00:00:00","5","en","1384117469","No","No","Yes","No","No","Yes","Yes","No","Yes","Yes","Yes","","Yes","Yes","No","No","","Yes","Yes","Yes","Yes","Yes","","Predominantly proprietary formats","","Yes","age and gender","No","","1 GB - 9 GB","100 GB - 499 GB","100 GB - 999 GB","10 GB - 99 GB","5-9 people","1-5","Rarely","Always, or almost always","Sometimes","Never, or almost never","No","","No","","No","","Yes","","No","","No","","","","Tend to agree","Tend to agree","Tend to disagree","Completely agree","Always, or almost always","Sometimes","Rarely","Never, or almost never","OneDrive","GoogleDrive","Dropbox","Rarely","Sometimes","Sometimes","Sometimes","Rarely","Always, or almost always","Always, or almost always","Always, or almost always","Always, or almost always","Rarely","To some extent","To some extent","To little or no extent at all","To some extent","To some extent","To little or no extent at all","To little or no extent at all","To little or no extent at all","To a large extent","To some extent","To little or no extent at all","To some extent","To little or no extent at all","To little or no extent at all","To some extent","To little or no extent at all","To some extent","","Doctorate/PhD","","Computer Science and Biomedical Engineering","No","No","No","No","Yes","Yes","No","No",""
"405","1980-01-01 00:00:00","5","en","1855433859","No","No","Yes","No","No","No","No","No","Yes","No","Yes","digital 3D objects","Yes","No","No","No","","No","No","Yes","Yes","No","","Open source formats exclusively","","No","","No","","Up to 99 MB","0 - 99 GB","","< 10 GB","Fewer than 5 people","1-5","Most of the time","Rarely","Never, or almost never","Rarely","No","","No","","No","","Yes","","No","","No","","","","Completely agree","Tend to agree","Tend to agree","Completely agree","Sometimes","Sometimes","Never, or almost never","Never, or almost never","","","","Rarely","Sometimes","Sometimes","Most of the time","Most of the time","Never, or almost never","Always, or almost always","Always, or almost always","Sometimes","Never, or almost never","To little or no extent at all","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","To some extent","To little or no extent at all","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","","Doctorate/PhD","","Computer Science and Biomedical Engineering","No","No","Yes","No","No","No","No","No",""
"409","1980-01-01 00:00:00","5","de","1752129772","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","No","No","No","","No","Yes","No","No","Yes","","Proprietary and open source formats","","Yes","Messdaten aus Industrieprojekten","Yes","GC Analysen ","100 GB - 499 GB","1 TB - 5 TB","< 10 GB","10 GB - 99 GB","Fewer than 5 people","","","","","","No","","No","","No","","Yes","","No","","No","","","","Tend to disagree","Tend to agree","Completely disagree","Tend to agree","Sometimes","Do not know/cannot answer","Sometimes","Do not know/cannot answer","","","","Never, or almost never","Rarely","Rarely","Most of the time","Sometimes","Sometimes","Most of the time","Most of the time","Sometimes","Never, or almost never","To some extent","To some extent","To some extent","To little or no extent at all","To some extent","To a large extent","To little or no extent at all","To some extent","To some extent","To some extent","To some extent","To some extent","To some extent","To a large extent","To a large extent","To a large extent","To a large extent","","Master's Degree (MSc., MA, Dipl. Ing., Mag.)","","Technical Chemistry, Chemical and Process Engineering, Biotechnology","No","No","No","No","No","No","Yes","No",""
